,Portfolio_Returns,ExRm,SMB,HML,rf,MOM,Sin_Portfolio_Excess_Returns,USREC
1968-12-31,0.02961181818181818,-0.0394,0.0337,-0.0001,0.0043,-0.0001,0.02531181818181818,0
1969-01-31,0.048339343749999986,-0.0125,-0.0074,0.0167,0.0053,-0.0017,0.043039343749999986,0
1969-02-28,-0.0660199375,-0.0584,-0.0392,0.0091,0.0046,-0.0236,-0.07061993750000001,0
1969-03-31,0.014692249999999995,0.0264,-0.003,-0.0051,0.0046,0.0397,0.010092249999999995,0
1969-04-30,0.00977703125,0.0146,-0.0086,-0.0003,0.0053,0.0113,0.00447703125,0
1969-05-31,0.0061557812500000015,-0.001,-0.0021,0.007,0.0048,0.017,0.001355781250000002,0
1969-06-30,-0.06772584375000001,-0.0718,-0.0537,-0.0108,0.0051,-0.023,-0.07282584375000001,0
1969-07-31,-0.0735178125,-0.07,-0.0324,0.012,0.0053,0.0171,-0.0788178125,0
1969-08-31,0.04274231249999999,0.0468,0.0093,-0.0379,0.005,0.0217,0.03774231249999999,0
1969-09-30,-0.0026685937499999965,-0.0298,0.0118,-0.0327,0.0062,0.0252,-0.008868593749999997,0
1969-10-31,0.07599399999999999,0.0506,0.0391,-0.0316,0.006,-0.0431,0.06999399999999999,0
1969-11-30,-0.01450531249999999,-0.0379,-0.0258,-0.0119,0.0052,0.0366,-0.01970531249999999,0
1969-12-31,-0.022530781249999996,-0.0263,-0.0371,-0.0286,0.0064,0.0496,-0.028930781249999996,0
1970-01-31,-0.01690040625,-0.081,0.0293,0.0313,0.006,0.006,-0.022900406249999998,1
1970-02-28,0.042653093749999996,0.0513,-0.0258,0.0393,0.0062,0.0023,0.03645309375,1
1970-03-31,0.0034873750000000026,-0.0106,-0.0232,0.0399,0.0057,-0.0036,-0.0022126249999999976,1
1970-04-30,-0.09264721875,-0.11,-0.0615,0.0618,0.005,-0.0077,-0.09764721875,1
1970-05-31,-0.03795409375,-0.0692,-0.0459,0.0333,0.0053,-0.0278,-0.04325409375,1
1970-06-30,-0.029452562499999994,-0.0579,-0.0213,0.006,0.0058,0.057,-0.035252562499999994,1
1970-07-31,0.05928875,0.0693,-0.005,0.009,0.0052,-0.0314,0.054088750000000005,1
1970-08-31,-0.013259781249999998,0.0449,0.0152,0.0115,0.0053,-0.0655,-0.018559781249999997,1
1970-09-30,0.06573731249999998,0.0418,0.0859,-0.0547,0.0054,-0.088,0.060337312499999976,1
1970-10-31,-0.01545371428571428,-0.0228,-0.0421,0.0022,0.0046,0.0942,-0.02005371428571428,1
1970-11-30,0.008083911764705885,0.046,-0.0394,0.0169,0.0046,0.0273,0.0034839117647058847,1
1970-12-31,0.01480823529411764,0.0572,0.0292,0.01,0.0042,-0.0223,0.01060823529411764,0
1971-01-31,0.07041844117647059,0.0484,0.0736,0.0133,0.0038,-0.0651,0.06661844117647059,0
1971-02-28,0.033112823529411764,0.0141,0.0186,-0.0123,0.0033,0.0079,0.029812823529411763,0
1971-03-31,0.02702378787878787,0.0413,0.0262,-0.0395,0.003,-0.0141,0.02402378787878787,0
1971-04-30,0.016207088235294115,0.0315,-0.0049,0.0069,0.0028,0.0141,0.013407088235294115,0
1971-05-31,-0.03752834285714285,-0.0398,-0.0104,-0.0144,0.0029,0.0086,-0.04042834285714285,0
1971-06-30,0.007033742857142864,-0.001,-0.0147,-0.0187,0.0037,0.0273,0.0033337428571428634,0
1971-07-31,-0.01286545714285714,-0.045,-0.0148,0.0002,0.004,-0.0235,-0.01686545714285714,0
1971-08-31,-0.0003240588235294212,0.0379,-0.0017,0.0263,0.0047,0.0361,-0.005024058823529421,0
1971-09-30,-0.038239029411764686,-0.0085,0.0051,-0.0291,0.0037,0.0212,-0.04193902941176469,0
