datadate,3PLFF,BGMTQ,BKCT,BRCC,CHF.,CTEA,FARM,FHAI,GMCR,HCEI,HRSR,ICGL.1,JAMN,KDP,MOKA,NUZE,PEET,PLAG,RVACU,SBEAU,SWP.,SWSSF,UOLI,WEST,WFGCF
1975-02-28,,,,,-0.04,,-0.061403,,,,,,,,,,,,,,,,,,
1975-03-31,,,,,0.250002,,0.046729,,,,,,,,,,,,,,,,,,
1975-04-30,,,,,-0.073001,,-0.028571,,,,,,,,,,,,,,,,,,
1975-05-31,,,,,0.0,,0.231481,,,,,,,,,,,,,,,,,,
1975-06-30,,,,,0.296297,,0.097744,,,,,,,,,,,,,,,,,,
1975-07-31,,,,,-0.114285,,-0.056164,,,,,,,,,,,,,,,,,,
1975-08-31,,,,,0.0,,-0.109489,,,,,,,,,,,,,,,,,,
1975-09-30,,,,,-0.19355,,0.13114800000000001,,,,,,,,,,,,,,,,,,
1975-10-31,,,,,0.240002,,-0.023188,,,,,,,,,,,,,,,,,,
1975-11-30,,,,,-0.036452,,0.126866,,,,,,,,,,,,,,,,,,
1975-12-31,,,,,-0.275862,,-0.16556300000000002,,,,,,,,,,,,,,,,,,
1976-01-31,,,,,0.238094,,0.268254,,,,,,,,,,,,,,,,,,
1976-02-29,,,,,0.11538500000000002,,0.025157,,,,,,,,,,,,,,,,,,
1976-03-31,,,,,-0.076552,,-0.110429,,,,,,,,,,,,,,,,,,
1976-04-30,,,,,-0.076923,,0.23931000000000002,,,,,,,,,,,,,,,,,,
1976-05-31,,,,,-0.08333299999999999,,-0.260504,,,,,,,,,,,,,,,,,,
1976-06-30,,,,,-0.045454,,-0.045454999999999995,,,,,,,,,,,,,,,,,,
1976-07-31,,,,,0.142856,,-0.10952400000000001,,,,,,,,,,,,,,,,,,
1976-08-31,,,,,-0.124999,,0.027027000000000002,,,,,,,,,,,,,,,,,,
1976-09-30,,,,,-0.047618999999999995,,-0.026316000000000003,,,,,,,,,,,,,,,,,,
1976-10-31,,,,,-0.10000099999999999,,-0.02973,,,,,,,,,,,,,,,,,,
1976-11-30,,,,,-0.055555,,0.0,,,,,,,,,,,,,,,,,,
1976-12-31,,,,,0.529413,,0.028169,,,,,,,,,,,,,,,,,,
1977-01-31,,,,,0.038462,,-0.0027400000000000002,,,,,,,,,,,,,,,,,,
1977-02-28,,,,,-0.074075,,-0.069444,,,,,,,,,,,,,,,,,,
1977-03-31,,,,,0.240002,,-0.044775999999999996,,,,,,,,,,,,,,,,,,
1977-04-30,,,,,-0.129033,,-0.003125,,,,,,,,,,,,,,,,,,
1977-05-31,,,,,0.0,,0.07936499999999999,,,,,,,,,,,,,,,,,,
1977-06-30,,,,,0.481483,,0.102941,,,,,,,,,,,,,,,,,,
1977-07-31,,,,,0.2,,-0.002667,,,,,,,,,,,,,,,,,,
1977-08-31,,,,,-0.333333,,-0.067568,,,,,,,,,,,,,,,,,,
1977-09-30,,,,,0.09375,,0.101449,,,,,,,,,,,,,,,,,,
1977-10-31,,,,,0.085715,,0.286842,,,,,,,,,,,,,,,,,,
1977-11-30,,,,,0.026316000000000003,,0.082474,,,,,,,,,,,,,,,,,,
1977-12-31,,,,,0.051281999999999994,,-0.08571400000000001,,,,,,,,,,,,,,,,,,
1978-01-31,,,,,0.024390000000000002,,0.05,,,,,,,,,,,,,,,,,,
1978-02-28,,,,,-0.023809,,-0.01,,,,,,,,,,,,,,,,,,
1978-03-31,,,,,0.146341,,0.292929,,,,,,,,,,,,,,,,,,
1978-04-30,,,,,0.234043,,0.107812,,,,,,,,,,,,,,,,,,
1978-05-31,,,,,-0.051724,,0.042553,,,,,,,,,,,,,,,,,,
1978-06-30,,,,,0.036364,,0.068027,,,,,,,,,,,,,,,,,,
1978-07-31,,,,,-0.10526300000000001,,0.036943000000000004,,,,,,,,,,,,,,,,,,
1978-08-31,,,,,0.058823999999999994,,-0.012346,,,,,,,,,,,,,,,,,,
1978-09-30,,,,,0.018518,,0.0125,,,,,,,,,,,,,,,,,,
1978-10-31,,,,,-0.43636400000000003,,-0.180247,,,,,,,,,,,,,,,,,,
1978-11-30,,,,,0.193548,,0.136364,,,,,,,,,,,,,,,,,,
1978-12-31,,,,,-0.054054000000000005,,0.013333,,,,,,,,,,,,,,,,,,
1979-01-31,,,,,0.142858,,0.060525999999999996,,,,,,,,,,,,,,,,,,
1979-02-28,,,,,-0.125001,,0.0375,,,,,,,,,,,,,,,,,,
1979-03-31,,,,,-0.08571400000000001,,-0.060240999999999996,,,,,,,,,,,,,,,,,,
1979-04-30,,,,,-0.03125,,-0.05641,,,,,,,,,,,,,,,,,,
1979-05-31,,,,,0.16129000000000002,,-0.054794999999999996,,,,,,,,,,,,,,,,,,
1979-06-30,,,,,-0.111111,,0.014493,,,,,,,,,,,,,,,,,,
1979-07-31,,,,,-0.0625,,-0.02,,,,,,,,,,,,,,,,,,
1979-08-31,,,,,0.3,,0.0,,,,,,,,,,,,,,,,,,
1979-09-30,,,,,-0.10256399999999999,,0.0,,,,,,,,,,,,,,,,,,
1979-10-31,,,,,-0.17142800000000002,,-0.079412,,,,,,,,,,,,,,,,,,
1979-11-30,,,,,0.137931,,0.112903,,,,,,,,,,,,,,,,,,
1979-12-31,,,,,0.08484799999999999,,0.0,,,,,,,,,,,,,,,,,,
1980-01-31,,,,,-0.028572,,0.168116,,,,,,,,,,,,,,,,,,
1980-02-29,,,,,-0.117647,,-0.1,,,,,,,,,,,,,,,,,,
1980-03-31,,,,,-0.10000099999999999,,-0.111111,,,,,,,,,,,,,,,,,,
1980-04-30,,,,,0.0,,0.071875,,,,,,,,,,,,,,,,,,
1980-05-31,,,,,0.037038,,-0.029411999999999997,,,,,,,,,,,,,,,,,,
1980-06-30,,,,,0.242857,,0.060606,,,,,,,,,,,,,,,,,,
1980-07-31,,,,,0.058823999999999994,,0.265714,,,,,,,,,,,,,,,,,,
1980-08-31,,,,,0.33333399999999996,,0.102273,,,,,,,,,,,,,,,,,,
1980-09-30,,,,,-0.020834000000000002,,0.030928,,,,,,,,,,,,,,,,,,
1980-10-31,,,,,0.06383,,0.11699999999999999,,,,,,,,,,,,,,,,,,
1980-11-30,,,,,0.1,,0.144144,,,,,,,,,,,,,,,,,,
1980-12-31,,,,,0.021818,,-0.031495999999999996,,,,,,,,,,,,,,,,,,
1981-01-31,,,,,-0.018181,,0.070732,,,,,,,,,,,,,,,,,,
1981-02-28,,,,,-0.018519,,0.145038,,,,,,,,,,,,,,,,,,
1981-03-31,,,,,0.037736,,-0.053333000000000005,,,,,,,,,,,,,,,,,,
1981-04-30,,,,,0.254546,,0.026056,,,,,,,,,,,,,,,,,,
1981-05-31,,,,,0.173913,,0.0,,,,,,,,,,,,,,,,,,
1981-06-30,,,,,0.192593,,0.034483,,,,,,,,,,,,,,,,,,
1981-07-31,,,,,-0.13684200000000002,,0.032,,,,,,,,,,,,,,,,,,
1981-08-31,,,,,-0.012195000000000001,,-0.220779,,,,,,,,,,,,,,,,,,
1981-09-30,,,,,0.111111,,-0.15,,,,,,,,,,,,,,,,,,
1981-10-31,,,,,0.177778,,0.17451,,,,,,,,,,,,,,,,,,
1981-11-30,,,,,-0.028302,,-0.008403,,,,,,,,,,,,,,,,,,
1981-12-31,,,,,-0.168932,,-0.059322,,,,,,,,,,,,,,,,,,
1982-01-31,,,,,0.047618999999999995,,-0.01982,,,,,,,,,,,,,,,,,,
1982-02-28,,,,,-0.056818,,-0.064815,,,,,,,,,,,,,,,,,,
1982-03-31,,,,,0.036145000000000004,,0.029703,,,,,,,,,,,,,,,,,,
1982-04-30,,,,,0.290698,,0.286538,,,,,,,,,,,,,,,,,,
1982-05-31,,,,,-0.036036,,-0.082707,,,,,,,,,,,,,,,,,,
1982-06-30,,,,,-0.028037,,-0.04918,,,,,,,,,,,,,,,,,,
1982-07-31,,,,,0.303846,,-0.044828,,,,,,,,,,,,,,,,,,
1982-08-31,,,,,-0.037313,,-0.036364,,,,,,,,,,,,,,,,,,
1982-09-30,,,,,0.0,,-0.009434,,,,,,,,,,,,,,,,,,
1982-10-31,,,,,-0.054264,,-0.011429,,,,,,,,,,,,,,,,,,
1982-11-30,,,,,-0.139344,,0.184466,,,,,,,,,,,,,,,,,,
1982-12-31,,,,,0.081905,,0.016393,,,,,,,,,,,,,,,,,,
1983-01-31,,,,,0.0,,0.03871,,,,,,,,,,,,,,,,,,
1983-02-28,,,,,0.0,,0.046875,,,,,,,,,,,,,,,,,,
1983-03-31,,,,,0.19642800000000002,,0.041045,,,,,,,,,,,,,,,,,,
1983-04-30,,,,,0.014924999999999999,,0.037993,,,,,,,,,,,,,,,,,,
1983-05-31,,,,,0.139704,,-0.069444,,,,,,,,,,,,,,,,,,
1983-06-30,,,,,0.08387,,0.0,,,,,,,,,,,,,,,,,,
1983-07-31,,,,,-0.053571,,-0.016418,,,,,,,,,,,,,,,,,,
1983-08-31,,,,,-0.019107,,-0.015267,,,,,,,,,,,,,,,,,,
1983-09-30,,,,,0.038961,,0.031008,,,,,,,,,,,,,,,,,,
1983-10-31,,,,,-0.03125,,-0.084211,,,,,,,,,,,,,,,,,,
1983-11-30,,,,,-0.348386,,0.024793,,,,,,,,,,,,,,,,,,
1983-12-31,,,,,-0.009901,,0.032258,,,,,,,,,,,,,,,,,,
1984-01-31,,,,,-0.020408,,-0.05625,,,,,,,,,,,,,,,,,,
1984-02-29,,,,,0.072917,,0.0,,,,,,,,,,,,,,,,,,
1984-03-31,,,,,-0.058253000000000006,,-0.033333,,,,,,,,,,,,,,,,,,
1984-04-30,,,,,0.123712,,0.041379,,,,,,,,,,,,,,,,,,
1984-05-31,,,,,-0.146789,,-0.05,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,-0.025377,,-0.013158000000000001,,,,,,,,,,,,,,,,,,
1984-07-31,,,,,-0.159091,,0.073778,,,,,,,,,,,,,,,,,,
1984-08-31,,,,,0.10810800000000001,,0.116667,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,-0.024390000000000002,,0.014924999999999999,,,,,,,,,,,,,,,,,,
1984-10-31,,,,,-0.025,,0.035294,,,,,,,,,,,,,,,,,,
1984-11-30,,,,,-0.11538500000000002,,-0.028571,,,,,,,,,,,,,,,,,,
1984-12-31,,,,,-0.014493,,0.0,,,,,,,,,,,,,,,,,,
1985-01-31,,,,,0.044118000000000004,,-0.016176,,,,,,,,,,,,,,,,,,
1985-02-28,,,,,-0.070423,,0.037593999999999995,,,,,,,,,,,,,,,,,,
1985-03-31,,,,,0.16666699999999998,,0.0,,,,,,,,,,,,,,,,,,
1985-04-30,,,,,-0.16883099999999998,,0.034783,,,,,,,,,,,,,,,,,,
1985-05-31,,,,,0.015625,,0.059859,,,,,,,,,,,,,,,,,,
1985-06-30,,,,,0.045846,,0.009967,,,,,,,,,,,,,,,,,,
1985-07-31,,,,,0.015152,,0.051316,,,,,,,,,,,,,,,,,,
1985-08-31,,,,,0.029851000000000003,,0.018868,,,,,,,,,,,,,,,,,,
1985-09-30,,,,,-0.043478,,-0.012346,,,,,,,,,,,,,,,,,,
1985-10-31,,,,,-0.030303,,0.0675,,,,,,,,,,,,,,,,,,
1985-11-30,,,,,-0.03125,,0.18823499999999999,,,,,,,,,,,,,,,,,,
1985-12-31,,,,,0.193549,,-0.059406,,,,,,,,,,,,,,,,,,
1986-01-31,,,,,0.0,,0.015789,,,,,,,,,,,,,,,,,,
1986-02-28,,,,,0.27027,,-0.010417000000000001,,,,,,,,,,,,,,,,,,
1986-03-31,,,,,0.021277,,0.05,,,,,,,,,,,,,,,,,,
1986-04-30,,,,,-0.135417,,0.002506,,,,,,,,,,,,,,,,,,
1986-05-31,,,,,0.036145000000000004,,0.045225999999999995,,,,,,,,,,,,,,,,,,
1986-06-30,,,,,0.116232,,0.038462,,,,,,,,,,,,,,,,,,
1986-07-31,,,,,0.040773000000000004,,-0.078704,,,,,,,,,,,,,,,,,,
1986-08-31,,,,,-0.134021,,-0.040404,,,,,,,,,,,,,,,,,,
1986-09-30,,,,,-0.19047599999999998,,-0.052632000000000005,,,,,,,,,,,,,,,,,,
1986-10-31,,,,,0.0,,0.127778,,,,,,,,,,,,,,,,,,
1986-11-30,,,,,0.058823999999999994,,0.009901,,,,,,,,,,,,,,,,,,
1986-12-31,,,,,0.027778,,0.0,,,,,,,,,,,,,,,,,,
1987-01-31,,,,,-0.027027000000000002,,0.034314,,,,,,,,,,,,,,,,,,
1987-02-28,,,,,0.069444,,0.21904800000000002,,,,,,,,,,,,,,,,,,
1987-03-31,,,,,-0.116883,,0.09375,,,,,,,,,,,,,,,,,,
1987-04-30,,,,,-0.044118000000000004,,-0.039286,,,,,,,,,,,,,,,,,,
1987-05-31,,,,,-0.030769,,0.074627,,,,,,,,,,,,,,,,,,
1987-06-30,,,,,0.015872999999999998,,0.020833,,,,,,,,,,,,,,,,,,
1987-07-31,,,,,0.094375,,0.010204,,,,,,,,,,,,,,,,,,
1987-08-31,,,,,0.058823999999999994,,-0.12162200000000001,,,,,,,,,,,,,,,,,,
1987-09-30,,,,,0.013889,,0.107692,,,,,,,,,,,,,,,,,,
1987-10-31,,,,,-0.342466,,-0.31597200000000003,,,,,,,,,,,,,,,,,,
1987-11-30,,,,,0.0,,0.142857,,,,,,,,,,,,,,,,,,
1987-12-31,,,,,-0.020833,,-0.017857,,,,,,,,,,,,,,,,,,
1988-01-31,,,,,0.085107,,-0.022727,,,,,,,,,,,,,,,,,,
1988-02-29,,,,,0.117647,,0.06542099999999999,,,,,,,,,,,,,,,,,,
1988-03-31,,,,,0.070176,,0.052632000000000005,,,,,,,,,,,,,,,,,,
1988-04-30,,,,,0.22950800000000002,,-0.0041670000000000006,,,,,,,,,,,,,,,,,,
1988-05-31,,,,,0.06666699999999999,,-0.008403,,,,,,,,,,,,,,,,,,
1988-06-30,,,,,0.0375,,0.084746,,,,,,,,,,,,,,,,,,
1988-07-31,,,,,-0.11891600000000001,,0.035156,,,,,,,,,,,,,,,,,,
1988-08-31,,,,,0.070422,,-0.075758,,,,,,,,,,,,,,,,,,
1988-09-30,,,,,-0.013158000000000001,,0.04918,,,,,,,,,,,,,,,,,,
1988-10-31,,,,,-0.12,,0.050781,,,,,,,,,,,,,,,,,,
1988-11-30,,,,,-0.030303,,-0.014924999999999999,,,,,,,,,,,,,,,,,,
1988-12-31,,,,,-0.015625,,-0.030303,,,,,,,,,,,,,,,,,,
1989-01-31,,,,,0.07936499999999999,,0.042969,,,,,,,,,,,,,,,,,,
1989-02-28,,,,,-0.029411999999999997,,-0.0075190000000000005,,,,,,,,,,,,,,,,,,
1989-03-31,,,,,-0.030303,,0.003788,,,,,,,,,,,,,,,,,,
1989-04-30,,,,,0.125,,0.144151,,,,,,,,,,,,,,,,,,
1989-05-31,,,,,-0.013889,,0.006623,,,,,,,,,,,,,,,,,,
1989-06-30,,,,,-0.013521,,0.039474,,,,,,,,,,,,,,,,,,
1989-07-31,,,,,-0.029411999999999997,,0.022785000000000003,,,,,,,,,,,,,,,,,,
1989-08-31,,,,,-0.045454,,0.031056,,,,,,,,,,,,,,,,,,
1989-09-30,,,,,-0.12698399999999999,,0.0,,,,,,,,,,,,,,,,,,
1989-10-31,,,,,-0.036363,,-0.020482,,,,,,,,,,,,,,,,,,
1989-11-30,,,,,-0.037736,,0.037037,,,,,,,,,,,,,,,,,,
1989-12-31,,,,,0.039216,,0.107143,,,,,,,,,,,,,,,,,,
1990-01-31,,,,,-0.226415,,-0.10430099999999999,,,,,,,,,,,,,,,,,,
1990-02-28,,,,,0.121951,,0.024096000000000003,,,,,,,,,,,,,,,,,,
1990-03-31,,,,,0.108696,,-0.035294,,,,,,,,,,,,,,,,,,
1990-04-30,,,,,-0.039216,,-0.020732,,,,,,,,,,,,,,,,,,
1990-05-31,,,,,0.12244899999999999,,0.0625,,,,,,,,,,,,,,,,,,
1990-06-30,,,,,0.273455,,0.011765000000000001,,,,,,,,,,,,,,,,,,
