,Portfolio_Returns,ExRm,SMB,HML,rf,MOM,Stim_Portfolio_Returns,USREC
1981-10-31,0.176144,0.0492,0.0223,-0.0421,0.0121,0.0401,0.164044,1
1981-11-30,-0.0183525,0.0336,-0.0103,0.0183,0.0107,-0.0027,-0.029052500000000002,1
1981-12-31,-0.114127,-0.0365,0.012,0.0081,0.0087,0.013,-0.122827,1
1982-01-31,0.013899499999999948,-0.0324,-0.0128,0.0319,0.008,0.0172,0.005899499999999948,1
1982-02-28,-0.060816499999999996,-0.0586,0.0044,0.0605,0.0092,0.0488,-0.0700165,1
1982-03-31,0.032923999999999995,-0.0187,-0.0021,0.0381,0.0098,0.0296,0.023123999999999995,1
1982-04-30,0.28861800000000004,0.0327,0.0147,-0.027,0.0113,-0.004,0.27731800000000006,1
1982-05-31,-0.0593715,-0.0399,0.0052,0.0175,0.0106,0.025,-0.0699715,1
1982-06-30,-0.038608500000000004,-0.0309,-0.004,0.0153,0.0096,0.0496,-0.0482085,1
1982-07-31,0.129509,-0.0319,0.0083,0.0009,0.0105,0.0445,0.11900900000000002,1
1982-08-31,-0.036838499999999996,0.1114,-0.0414,0.0095,0.0076,-0.0352,-0.0444385,1
1982-09-30,-0.004717,0.0129,0.0295,0.0028,0.0051,0.0419,-0.009817,1
1982-10-31,-0.0328465,0.113,0.0234,-0.0366,0.0059,0.0018,-0.0387465,1
1982-11-30,0.022560999999999998,0.0467,0.0467,-0.0187,0.0063,0.0595,0.016260999999999998,1
1982-12-31,0.049149000000000005,0.0055,-0.0022,-0.0002,0.0067,0.0004,0.04244900000000001,0
1983-01-31,0.019355,0.036,0.0273,-0.0075,0.0069,-0.0173,0.012455,0
1983-02-28,0.0234375,0.0259,0.0327,0.007,0.0062,0.0377,0.0172375,0
1983-03-31,0.1187365,0.0282,0.0173,0.0202,0.0063,0.0092,0.1124365,0
1983-04-30,0.026458999999999948,0.0667,0.005,0.0049,0.0071,0.0172,0.019358999999999946,0
1983-05-31,0.035129999999999995,0.0052,0.0624,-0.014,0.0069,-0.0156,0.028229999999999995,0
1983-06-30,0.041935,0.0307,0.0095,-0.039,0.0067,0.018,0.035235,0
1983-07-31,-0.0349945,-0.0407,0.015,0.0562,0.0074,-0.0313,-0.0423945,0
1983-08-31,-0.017187,-0.005,-0.0428,0.0554,0.0076,-0.0543,-0.024787,0
1983-09-30,0.0349845,0.0091,0.0061,0.0101,0.0076,-0.0003,0.027384500000000003,0
1983-10-31,-0.0577305,-0.0344,-0.0357,0.0497,0.0076,-0.0452,-0.0653305,0
1983-11-30,-0.16179649999999998,0.0216,0.0201,-0.0072,0.007,-0.0013,-0.1687965,0
1983-12-31,0.011178500000000001,-0.0178,-0.0027,0.0173,0.0073,0.0084,0.003878500000000001,0
1984-01-31,-0.038329,-0.0192,-0.0038,0.0758,0.0076,-0.0256,-0.045929000000000005,0
1984-02-29,0.0364585,-0.0482,-0.0169,0.0333,0.0071,0.0022,0.029358499999999996,0
1984-03-31,-0.045793,0.0063,0.0007,0.0046,0.0073,0.0107,-0.053093,0
1984-04-30,0.0825455,-0.0051,-0.0116,0.012,0.0081,0.0207,0.0744455,0
1984-05-31,-0.0983945,-0.0597,0.0006,0.0031,0.0078,0.0151,-0.1061945,0
1984-06-30,-0.0192675,0.0182,-0.003,-0.0266,0.0075,-0.007,-0.0267675,0
1984-07-31,-0.04265650000000001,-0.0274,-0.0221,0.0036,0.0082,0.0285,-0.050856500000000006,0
1984-08-31,0.1123875,0.1028,-0.0024,-0.0182,0.0083,-0.0559,0.1040875,0
1984-09-30,-0.004732500000000049,-0.008,0.0017,0.0528,0.0086,0.0362,-0.01333250000000005,0
1984-10-31,0.005146999999999999,-0.0084,-0.0123,0.0045,0.01,0.0316,-0.004853000000000001,0
1984-11-30,-0.071978,-0.0176,-0.0065,0.0406,0.0073,0.0164,-0.079278,0
1984-12-31,-0.0072465,0.0184,-0.0056,-0.0026,0.0064,0.0149,-0.0136465,0
1985-01-31,0.013970999999999999,0.0799,0.0331,-0.0535,0.0065,-0.0682,0.007470999999999999,0
1985-02-28,-0.01641450000000005,0.0122,0.0079,-0.001,0.0058,0.0188,-0.02221450000000005,0
1985-03-31,0.08333349999999995,-0.0084,-0.0108,0.0407,0.0062,0.0158,0.07713349999999995,0
1985-04-30,-0.06702399999999994,-0.0096,0.0014,0.0372,0.0072,0.0304,-0.07422399999999994,0
1985-05-31,0.037742,0.0509,-0.0222,-0.0096,0.0066,0.0399,0.031141999999999996,0
1985-06-30,0.0279065,0.0127,0.0052,0.0038,0.0055,0.0357,0.022406500000000003,0
1985-07-31,0.033234,-0.0074,0.0284,-0.0162,0.0062,-0.0391,0.027034,0
1985-08-31,0.0243595,-0.0102,-0.003,0.0232,0.0055,0.0185,0.0188595,0
1985-09-30,-0.027912,-0.0454,-0.0159,0.0129,0.006,0.0151,-0.033912,0
1985-10-31,0.018598500000000004,0.0402,-0.0151,0.0075,0.0065,0.0488,0.012098500000000005,0
