,Portfolio_Returns,ExRm,SMB,HML,rf,MOM,Stim_Portfolio_Returns,USREC
1969-06-30,-0.14920650000000002,-0.0718,-0.0537,-0.0108,0.0051,-0.023,-0.1543065,0
1969-07-31,-0.123684,-0.07,-0.0324,0.012,0.0053,0.0171,-0.12898400000000002,0
1969-08-31,0.015625,0.0468,0.0093,-0.0379,0.005,0.0217,0.010624999999999999,0
1969-09-30,-0.006155499999999998,-0.0298,0.0118,-0.0327,0.0062,0.0252,-0.012355499999999998,0
1969-10-31,0.0431135,0.0506,0.0391,-0.0316,0.006,-0.0431,0.0371135,0
1969-11-30,0.002880499999999994,-0.0379,-0.0258,-0.0119,0.0052,0.0366,-0.0023195000000000056,0
1969-12-31,-0.122609,-0.0263,-0.0371,-0.0286,0.0064,0.0496,-0.12900899999999998,0
1970-01-31,-0.011794500000000003,-0.081,0.0293,0.0313,0.006,0.006,-0.017794500000000005,1
1970-02-28,-0.0041665,0.0513,-0.0258,0.0393,0.0062,0.0023,-0.0103665,1
1970-03-31,0.061816999999999955,-0.0106,-0.0232,0.0399,0.0057,-0.0036,0.05611699999999996,1
1970-04-30,-0.1295705,-0.11,-0.0615,0.0618,0.005,-0.0077,-0.1345705,1
1970-05-31,-0.0494085,-0.0692,-0.0459,0.0333,0.0053,-0.0278,-0.0547085,1
1970-06-30,-0.123077,-0.0579,-0.0213,0.006,0.0058,0.057,-0.12887700000000002,1
1970-07-31,0.1066125,0.0693,-0.005,0.009,0.0052,-0.0314,0.1014125,1
1970-08-31,-0.026473,0.0449,0.0152,0.0115,0.0053,-0.0655,-0.031773,1
1970-09-30,0.0818185,0.0418,0.0859,-0.0547,0.0054,-0.088,0.0764185,1
1970-10-31,-0.03338349999999995,-0.0228,-0.0421,0.0022,0.0046,0.0942,-0.03798349999999995,1
1970-11-30,0.1398475,0.046,-0.0394,0.0169,0.0046,0.0273,0.13524750000000002,1
1970-12-31,-0.058068,0.0572,0.0292,0.01,0.0042,-0.0223,-0.062268000000000004,0
1971-01-31,0.15000049999999998,0.0484,0.0736,0.0133,0.0038,-0.0651,0.14620049999999998,0
1971-02-28,-0.039871000000000004,0.0141,0.0186,-0.0123,0.0033,0.0079,-0.043171,0
1971-03-31,0.10877200000000001,0.0413,0.0262,-0.0395,0.003,-0.0141,0.105772,0
1971-04-30,0.1021205,0.0315,-0.0049,0.0069,0.0028,0.0141,0.0993205,0
1971-05-31,0.013787,-0.0398,-0.0104,-0.0144,0.0029,0.0086,0.010887,0
1971-06-30,0.0407735,-0.001,-0.0147,-0.0187,0.0037,0.0273,0.037073499999999995,0
1971-07-31,0.0468995,-0.045,-0.0148,0.0002,0.004,-0.0235,0.04289949999999999,0
1971-08-31,0.07325999999999995,0.0379,-0.0017,0.0263,0.0047,0.0361,0.06855999999999995,0
1971-09-30,-0.0448595,-0.0085,0.0051,-0.0291,0.0037,0.0212,-0.0485595,0
1971-10-31,0.0081975,-0.0442,-0.0176,-0.0048,0.0037,0.0047,0.0044975,0
1971-11-30,0.03765400000000001,-0.0046,-0.0277,-0.0168,0.0037,0.0151,0.033954000000000005,0
1971-12-31,0.009852499999999998,0.0871,0.0329,-0.004,0.0037,-0.0058,0.006152499999999998,0
1972-01-31,0.1315305,0.0249,0.0585,0.0224,0.0029,0.0017,0.12863049999999998,0
1972-02-29,-0.020707,0.0287,0.013,-0.0279,0.0025,0.0254,-0.023207,0
1972-03-31,-0.08164199999999999,0.0063,-0.0024,-0.0161,0.0027,0.0294,-0.08434199999999999,0
1972-04-30,-0.059287999999999945,0.0029,0.0011,0.0012,0.0029,0.0281,-0.062187999999999945,0
1972-05-31,0.097938,0.0125,-0.0269,-0.027,0.003,0.0329,0.094938,0
1972-06-30,-0.0413795,-0.0243,0.0027,-0.0248,0.0029,0.019,-0.0442795,0
1972-07-31,-0.054855999999999946,-0.008,-0.0287,0.0066,0.0031,0.0275,-0.057955999999999945,0
1972-08-31,0.1203705,0.0326,-0.0403,0.0454,0.0029,-0.054,0.1174705,0
1972-09-30,0.047039500000000005,-0.0114,-0.0265,0.0046,0.0034,0.0182,0.043639500000000005,0
1972-10-31,0.05898699999999995,0.0052,-0.0273,0.0134,0.004,0.0071,0.05498699999999995,0
1972-11-30,0.051977999999999996,0.046,-0.012,0.0485,0.0037,-0.0509,0.048277999999999995,0
1972-12-31,0.008045999999999998,0.0062,-0.0195,-0.0219,0.0037,0.0492,0.0043459999999999974,0
1973-01-31,-0.0931225,-0.0329,-0.0349,0.0268,0.0044,0.0373,-0.0975225,0
1973-02-28,-0.1187085,-0.0485,-0.0387,0.016,0.0041,0.0216,-0.1228085,0
1973-03-31,-0.05759799999999995,-0.013,-0.0282,0.0262,0.0046,0.0359,-0.06219799999999995,0
1973-04-30,-0.12565599999999996,-0.0568,-0.0385,0.0541,0.0052,0.0636,-0.13085599999999997,0
1973-05-31,-0.03380949999999995,-0.0294,-0.063,0.0041,0.0051,0.0714,-0.03890949999999995,0
1973-06-30,0.019388000000000002,-0.0157,-0.0286,0.012,0.0051,0.043,0.014288000000000002,0
1973-07-31,-0.0173915,0.0505,0.0797,-0.0531,0.0064,-0.1157,-0.0237915,0
1973-08-31,0.0,-0.0382,-0.0213,0.0124,0.007,0.0346,-0.007,0
1973-09-30,-0.029502999999999995,0.0475,0.0304,0.0201,0.0068,-0.07,-0.036302999999999995,0
1973-10-31,0.035555500000000004,-0.0083,-0.0045,0.0194,0.0065,0.0687,0.029055500000000005,0
1973-11-30,-0.16195700000000002,-0.1275,-0.0767,0.0387,0.0056,0.0866,-0.167557,0
1973-12-31,-0.13622249999999994,0.0061,-0.0535,0.0385,0.0064,0.1038,-0.14262249999999993,1
1974-01-31,0.216129,-0.0017,0.0968,0.0602,0.0063,-0.0885,0.209829,1
1974-02-28,0.002137000000000052,-0.0047,-0.0018,0.0281,0.0058,0.0032,-0.0036629999999999475,1
1974-03-31,0.1340685,-0.0281,0.026,-0.0032,0.0056,-0.0105,0.1284685,1
1974-04-30,-0.0977275,-0.0529,-0.0074,0.0085,0.0075,0.0211,-0.1052275,1
1974-05-31,-0.153467,-0.0468,-0.0296,-0.0202,0.0075,-0.0039,-0.160967,1
1974-06-30,-0.06350849999999994,-0.0283,-0.0017,0.0077,0.006,0.0231,-0.06950849999999995,1
1974-07-31,-0.07954099999999995,-0.0805,0.0084,0.0516,0.007,0.0311,-0.08654099999999995,1
1974-08-31,-0.07083300000000001,-0.0935,-0.0073,0.0264,0.006,0.03,-0.07683300000000001,1
1974-09-30,-0.16103050000000002,-0.1177,0.0027,0.0558,0.0081,0.0424,-0.16913050000000002,1
1974-10-31,0.301052,0.161,-0.0346,-0.0987,0.0051,-0.0054,0.295952,1
1974-11-30,-0.077651,-0.0451,-0.0121,-0.002,0.0054,0.0213,-0.083051,1
1974-12-31,-0.12611699999999995,-0.0345,-0.0483,0.0011,0.007,0.0292,-0.13311699999999996,1
1975-02-28,-0.0507015,0.0556,0.0016,-0.0444,0.0043,-0.0061,-0.055001499999999995,1
1975-03-31,0.1483655,0.0266,0.0378,0.0238,0.0041,-0.0204,0.14426550000000002,1
1975-04-30,-0.050786,0.0423,-0.0065,-0.0114,0.0044,0.0138,-0.055186,0
1975-05-31,0.1157405,0.0519,0.0383,-0.041,0.0044,-0.0058,0.1113405,0
1975-06-30,0.1970205,0.0483,0.0087,0.0138,0.0041,0.0004,0.1929205,0
1975-07-31,-0.0852245,-0.0659,0.027,0.0169,0.0048,0.0042,-0.0900245,0
1975-08-31,-0.0547445,-0.0285,-0.0325,-0.0095,0.0048,-0.001,-0.0595445,0
1975-09-30,-0.031201000000000007,-0.0426,-0.001,0.0039,0.0053,0.0041,-0.036501000000000006,0
1975-10-31,0.108407,0.0531,-0.0403,0.0028,0.0056,-0.0016,0.10280700000000001,0
1975-11-30,0.045207000000000004,0.0264,-0.012,0.0203,0.0041,-0.0045,0.041107000000000005,0
1975-12-31,-0.22071249999999998,-0.016,-0.0078,0.0169,0.0048,-0.0011,-0.22551249999999998,0
1976-01-31,0.253174,0.1216,0.0481,0.0863,0.0047,0.0445,0.248474,0
1976-02-29,0.070271,0.0032,0.0706,0.0587,0.0034,0.0038,0.066871,0
1976-03-31,-0.0934905,0.0232,-0.0116,-0.0012,0.004,0.0015,-0.09749050000000001,0
1976-04-30,0.0811935,-0.0149,-0.0011,-0.0016,0.0042,0.0059,0.0769935,0
1976-05-31,-0.17191849999999995,-0.0134,-0.0123,-0.0136,0.0037,-0.0112,-0.17561849999999996,0
1976-06-30,-0.04545449999999995,0.0405,-0.0132,0.0071,0.0043,-0.0042,-0.04975449999999995,0
1976-07-31,0.016666000000000007,-0.0107,0.0029,0.0173,0.0047,-0.0013,0.011966000000000008,0
1976-08-31,-0.048986,-0.0056,-0.02,0.0081,0.0042,-0.0085,-0.053186000000000004,0
1976-09-30,-0.036967499999999945,0.0207,-0.0002,-0.0029,0.0044,0.0022,-0.041367499999999946,0
1976-10-31,-0.06486549999999995,-0.0242,0.0022,-0.0018,0.0041,-0.0044,-0.06896549999999996,0
1976-11-30,-0.0277775,0.0036,0.0232,0.0151,0.004,0.0291,-0.0317775,0
1976-12-31,0.028169,0.0565,0.0303,0.0227,0.004,0.0073,0.024169,0
1977-01-31,0.017861000000000002,-0.0405,0.0476,0.0427,0.0036,0.04,0.014261000000000003,0
1977-02-28,-0.0717595,-0.0194,0.0104,0.0047,0.0035,0.0036,-0.07525950000000001,0
1977-03-31,0.09761300000000005,-0.0137,0.01,0.0109,0.0038,0.0055,0.09381300000000005,0
1977-04-30,-0.066079,0.0015,-0.0012,0.0338,0.0038,0.0421,-0.069879,0
1977-05-31,0.03968249999999995,-0.0145,0.0118,0.0085,0.0037,0.0203,0.035982499999999945,0
1977-06-30,0.102941,0.0471,0.0209,-0.0074,0.004,0.0166,0.098941,0
1977-07-31,0.0986665,-0.0169,0.0216,-0.0056,0.0042,0.0032,0.09446650000000001,0
1977-08-31,-0.2004505,-0.0175,0.0148,-0.027,0.0044,-0.017,-0.2048505,0
1977-09-30,0.0975995,-0.0027,0.0134,-0.0052,0.0043,0.02,0.09329950000000001,0
1977-10-31,0.18627849999999999,-0.0438,0.0125,0.0175,0.0049,-0.0008,0.1813785,0
1977-11-30,0.054395,0.04,0.0373,0.0026,0.005,0.0201,0.049395,0
1977-12-31,-0.01721600000000005,0.0027,0.0132,-0.0029,0.0049,0.0158,-0.022116000000000052,0
1978-01-31,0.037195,-0.0601,0.0224,0.0336,0.0049,-0.0066,0.032295,0
1978-02-28,-0.0169045,-0.0138,0.0359,0.0083,0.0046,0.0197,-0.0215045,0
1978-03-31,0.219635,0.0285,0.0349,0.0118,0.0053,0.0137,0.214335,0
1978-04-30,0.1709275,0.0788,0.0045,-0.0354,0.0054,0.0086,0.16552750000000002,0
1978-05-31,-0.004585499999999999,0.0176,0.0456,-0.0052,0.0051,0.0283,-0.0096855,0
1978-06-30,0.052195500000000006,-0.0169,0.0166,0.0057,0.0054,0.0274,0.046795500000000004,0
1978-07-31,-0.034159999999999996,0.0511,0.0023,-0.0115,0.0056,0.0417,-0.03976,0
1978-08-31,0.023238999999999947,0.0375,0.0506,-0.0051,0.0056,0.0283,0.017638999999999946,0
1978-09-30,0.015509,-0.0143,-0.0043,0.0189,0.0062,-0.0314,0.009309000000000001,0
1978-10-31,-0.3083055,-0.1191,-0.0986,0.0138,0.0068,-0.0846,-0.3151055,0
1978-11-30,0.164956,0.0271,0.0297,-0.0215,0.007,0.0545,0.15795599999999999,0
1978-12-31,-0.0203605,0.0088,0.0129,-0.0213,0.0078,0.0303,-0.028160499999999998,0
1979-01-31,0.10169199999999995,0.0423,0.0362,0.0219,0.0077,-0.0136,0.09399199999999995,0
1979-02-28,-0.0437505,-0.0356,0.0045,0.0117,0.0073,-0.0106,-0.0510505,0
1979-03-31,-0.07297749999999995,0.0568,0.0326,-0.0071,0.0081,0.0293,-0.08107749999999994,0
1979-04-30,-0.04383,-0.0006,0.0215,0.0112,0.008,0.0081,-0.05183,0
1979-05-31,0.053247500000000045,-0.0221,0.0021,0.0131,0.0082,-0.0054,0.045047500000000046,0
1979-06-30,-0.048309,0.0385,0.0117,0.0144,0.0081,0.0084,-0.056409,0
1979-07-31,-0.04125,0.0082,0.0128,0.0186,0.0077,-0.0107,-0.04895,0
1979-08-31,0.15,0.0553,0.0205,-0.0158,0.0077,-0.002,0.14229999999999998,0
1979-09-30,-0.05128199999999995,-0.0082,-0.0027,-0.009,0.0083,0.0528,-0.059581999999999954,0
1979-10-31,-0.12542,-0.081,-0.0337,-0.0184,0.0087,0.0201,-0.13412000000000002,0
1979-11-30,0.125417,0.0521,0.0287,-0.0329,0.0099,0.0814,0.115517,0
1979-12-31,0.04242399999999995,0.0179,0.0417,-0.021,0.0095,0.0478,0.032923999999999946,0
1980-01-31,0.069772,0.0551,0.0162,0.0175,0.008,0.0755,0.061772,0
1980-02-29,-0.1088235,-0.0122,-0.0185,0.0061,0.0089,0.0788,-0.11772350000000001,1
1980-03-31,-0.10555599999999996,-0.129,-0.0664,-0.0101,0.0121,-0.0955,-0.11765599999999996,1
1980-04-30,0.0359375,0.0397,0.0105,0.0106,0.0126,-0.0043,0.023337499999999997,1
1980-05-31,0.0038130000000000507,0.0526,0.0213,0.0038,0.0081,-0.0112,-0.004286999999999949,1
1980-06-30,0.1517315,0.0306,0.0166,-0.0076,0.0061,0.0162,0.1456315,1
1980-07-31,0.16226899999999994,0.0649,0.0414,-0.0641,0.0053,0.0039,0.15696899999999994,1
1980-08-31,0.21780349999999996,0.018,0.0392,-0.026,0.0064,0.0321,0.21140349999999997,0
1980-09-30,0.005047000000000001,0.0219,0.0098,-0.0459,0.0075,0.0539,-0.0024529999999999986,0
1980-10-31,0.09041499999999994,0.0106,0.0247,-0.0276,0.0095,0.073,0.08091499999999995,0
1980-11-30,0.122072,0.0959,-0.0336,-0.0833,0.0096,0.1522,0.112472,0
1980-12-31,-0.004838999999999949,-0.0452,-0.0026,0.0279,0.0131,-0.0668,-0.017938999999999948,0
1981-01-31,0.0262755,-0.0504,0.0292,0.0672,0.0104,-0.0795,0.0158755,0
1981-02-28,0.0632595,0.0057,-0.0034,0.0102,0.0107,-0.0135,0.052559499999999995,0
1981-03-31,-0.0077985,0.0356,0.0354,0.0064,0.0121,0.0074,-0.0198985,0
1981-04-30,0.140301,-0.0211,0.044,0.0228,0.0108,-0.0091,0.129501,0
1981-05-31,0.0869565,0.0011,0.02,-0.0042,0.0115,0.037,0.07545650000000001,0
1981-06-30,0.113538,-0.0236,-0.0083,0.0513,0.0135,-0.0581,0.100038,0
1981-07-31,-0.052420999999999995,-0.0154,-0.0219,-0.005,0.0124,-0.0245,-0.06482099999999999,0
1981-08-31,-0.11648700000000001,-0.0704,-0.0195,0.0476,0.0128,-0.0115,-0.129287,1
1981-09-30,-0.019444499999999997,-0.0717,-0.0265,0.0517,0.0124,0.0195,-0.0318445,1
