,gvkey,iid,datadate,tic,trt1m,naics,sic
80378,1408,01,30/06/1967,BEAM.2,1.5748,312140.0,2085.0
80379,1408,01,31/07/1967,BEAM.2,8.124,312140.0,2085.0
80380,1408,01,31/08/1967,BEAM.2,-3.7281,312140.0,2085.0
80381,1408,01,30/09/1967,BEAM.2,0.0,312140.0,2085.0
80382,1408,01,31/10/1967,BEAM.2,-0.3623,312140.0,2085.0
80383,1408,01,30/11/1967,BEAM.2,-5.4545,312140.0,2085.0
80384,1408,01,31/12/1967,BEAM.2,4.4553,312140.0,2085.0
80385,1408,01,31/01/1968,BEAM.2,-0.3736,312140.0,2085.0
80386,1408,01,29/02/1968,BEAM.2,1.0,312140.0,2085.0
80387,1408,01,31/03/1968,BEAM.2,-4.2987,312140.0,2085.0
80388,1408,01,30/04/1968,BEAM.2,6.9508,312140.0,2085.0
80389,1408,01,31/05/1968,BEAM.2,2.2226,312140.0,2085.0
80390,1408,01,30/06/1968,BEAM.2,6.4801,312140.0,2085.0
80391,1408,01,31/07/1968,BEAM.2,-2.5143,312140.0,2085.0
80392,1408,01,31/08/1968,BEAM.2,-2.6231,312140.0,2085.0
80393,1408,01,30/09/1968,BEAM.2,1.5267,312140.0,2085.0
80394,1408,01,31/10/1968,BEAM.2,4.5113,312140.0,2085.0
80395,1408,01,30/11/1968,BEAM.2,-0.4461,312140.0,2085.0
80396,1408,01,31/12/1968,BEAM.2,10.6389,312140.0,2085.0
80397,1408,01,31/01/1969,BEAM.2,5.9603,312140.0,2085.0
80398,1408,01,28/02/1969,BEAM.2,-4.0501,312140.0,2085.0
80399,1408,01,31/03/1969,BEAM.2,-2.3231,312140.0,2085.0
80400,1408,01,30/04/1969,BEAM.2,0.0,312140.0,2085.0
80401,1408,01,31/05/1969,BEAM.2,1.027,312140.0,2085.0
80402,1408,01,30/06/1969,BEAM.2,-8.4869,312140.0,2085.0
80403,1408,01,31/07/1969,BEAM.2,-1.0964,312140.0,2085.0
80404,1408,01,31/08/1969,BEAM.2,4.8533,312140.0,2085.0
80405,1408,01,30/09/1969,BEAM.2,0.0,312140.0,2085.0
80406,1408,01,31/10/1969,BEAM.2,11.9565,312140.0,2085.0
80407,1408,01,30/11/1969,BEAM.2,-0.3236,312140.0,2085.0
80408,1408,01,31/12/1969,BEAM.2,-5.9211,312140.0,2085.0
80409,1408,01,31/01/1970,BEAM.2,-8.3916,312140.0,2085.0
80410,1408,01,28/02/1970,BEAM.2,1.6031,312140.0,2085.0
80411,1408,01,31/03/1970,BEAM.2,1.9084,312140.0,2085.0
80412,1408,01,30/04/1970,BEAM.2,2.2472,312140.0,2085.0
80413,1408,01,31/05/1970,BEAM.2,1.5385,312140.0,2085.0
80414,1408,01,30/06/1970,BEAM.2,4.7619,312140.0,2085.0
80415,1408,01,31/07/1970,BEAM.2,6.993,312140.0,2085.0
80416,1408,01,31/08/1970,BEAM.2,4.6405,312140.0,2085.0
80417,1408,01,30/09/1970,BEAM.2,-4.4304,312140.0,2085.0
